2021-01-07 16:51:33,038 - data_pipeline - INFO - CampaignParameters - Reading Campaign Parameters
2021-01-07 16:51:33,043 - data_pipeline - INFO - ProcessXRF - Processing XRF
2021-01-07 16:55:01,262 - data_pipeline - INFO - ProcessInputs - Processing XRF
2021-01-07 16:55:02,362 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 26
2021-01-07 16:55:02,368 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 27
2021-01-07 16:55:02,376 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 28
2021-01-07 16:55:02,383 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 29
2021-01-07 16:55:02,390 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 3
2021-01-07 16:55:02,397 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 30
2021-01-07 16:55:02,404 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 31
2021-01-07 16:55:02,410 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 32
2021-01-07 16:55:02,417 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 33
2021-01-07 16:55:02,423 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 34
2021-01-07 16:55:02,429 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 35
2021-01-07 16:55:02,436 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 36
2021-01-07 16:55:02,442 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 37
2021-01-07 16:55:02,449 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 38
2021-01-07 16:55:02,455 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 39
2021-01-07 16:55:02,462 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 4
2021-01-07 16:55:02,466 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 40
2021-01-07 16:55:02,473 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 41
2021-01-07 16:55:02,479 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 42
2021-01-07 16:55:02,485 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 43
2021-01-07 16:55:02,496 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 44
2021-01-07 16:55:02,504 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 45
2021-01-07 16:55:02,512 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 46
2021-01-07 16:55:02,519 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 47
2021-01-07 16:55:02,526 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 48
2021-01-07 16:55:02,532 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 49
2021-01-07 16:55:02,540 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 5
2021-01-07 16:55:02,545 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 50
2021-01-07 16:55:02,552 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 51
2021-01-07 16:55:02,559 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 52
2021-01-07 16:55:02,564 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 53
2021-01-07 16:55:02,569 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 54
2021-01-07 16:55:02,575 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 55
2021-01-07 16:55:02,581 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 56
