2021-01-07 23:23:13,523 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 3
2021-01-07 23:23:13,528 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 30
2021-01-07 23:23:13,533 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 31
2021-01-07 23:23:13,538 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 32
2021-01-07 23:23:13,545 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 33
2021-01-07 23:23:13,552 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 34
2021-01-07 23:23:13,559 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 35
2021-01-07 23:23:13,564 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 36
2021-01-07 23:23:13,571 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 37
2021-01-07 23:23:13,577 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 38
2021-01-07 23:23:13,584 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 39
2021-01-07 23:23:13,591 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 4
2021-01-07 23:23:13,596 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 40
2021-01-07 23:23:13,604 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 41
2021-01-07 23:23:13,608 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 42
2021-01-07 23:23:13,613 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 43
2021-01-07 23:23:13,618 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 44
2021-01-07 23:23:13,623 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 45
2021-01-07 23:23:13,629 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 46
2021-01-07 23:23:13,636 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 47
2021-01-07 23:23:13,643 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 48
2021-01-07 23:23:13,649 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 49
2021-01-07 23:23:13,654 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 5
2021-01-07 23:23:13,660 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 50
2021-01-07 23:23:13,667 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 51
2021-01-07 23:23:13,672 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 52
2021-01-07 23:23:13,677 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 53
2021-01-07 23:23:13,682 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 54
